ADAM PanCancer Core-Fitness genes,ensemble_id
ALYREF,ENSG00000183684
ANAPC4,ENSG00000053900
ANAPC5,ENSG00000089053
ARCN1,ENSG00000095139
ATP6V0D1,ENSG00000159720
BCAS2,ENSG00000116752
BRIX1,ENSG00000113460
CCNK,ENSG00000090061
CCT3,ENSG00000163468
CCT6A,ENSG00000146731
CCT7,ENSG00000135624
CCT8,ENSG00000156261
CDC5L,ENSG00000096401
CHMP2A,ENSG00000130724
COPA,ENSG00000122218
COPB1,ENSG00000129083
COPB2,ENSG00000184432
COPZ1,ENSG00000111481
CPSF2,ENSG00000165934
CPSF3,ENSG00000119203
CSE1L,ENSG00000124207
DARS,ENSG00000115866
DDB1,ENSG00000167986
DDX18,ENSG00000088205
DDX54,ENSG00000123064
DHX15,ENSG00000109606
DHX8,ENSG00000067596
DYNC1H1,ENSG00000197102
DYNC1I2,ENSG00000077380
EEF2,ENSG00000167658
EFTUD2,ENSG00000108883
EIF2B2,ENSG00000119718
EIF2B3,ENSG00000070785
EIF2B4,ENSG00000115211
EIF2S2,ENSG00000125977
EIF3A,ENSG00000107581
EIF3B,ENSG00000106263
EIF3D,ENSG00000100353
EIF3F,ENSG00000175390
EIF3I,ENSG00000084623
EIF4A3,ENSG00000141543
EIF4E,ENSG00000151247
ERH,ENSG00000100632
GNL3,ENSG00000163938
HAUS1,ENSG00000152240
HAUS7,ENSG00000213397
HEATR1,ENSG00000119285
HIST1H2AJ,ENSG00000276368
HIST1H2AM,ENSG00000278677
HIST1H2BB,ENSG00000276410
HIST1H2BC,ENSG00000180596
HIST1H2BF,ENSG00000277224
HIST1H2BH,ENSG00000275713
HIST1H2BL,ENSG00000185130
HIST1H2BN,ENSG00000233822
HNRNPC,ENSG00000092199
HNRNPK,ENSG00000165119
HNRNPL,ENSG00000104824
INCENP,ENSG00000149503
INTS9,ENSG00000104299
ISCU,ENSG00000136003
KARS,ENSG00000065427
KPNB1,ENSG00000108424
LSM4,ENSG00000130520
LUC7L3,ENSG00000108848
MCM2,ENSG00000073111
MCM3,ENSG00000112118
MCM5,ENSG00000100297
MCM7,ENSG00000166508
MED30,ENSG00000164758
NAA38,ENSG00000183011
NAPA,ENSG00000105402
NCBP1,ENSG00000136937
NEDD8,ENSG00000129559
NHP2L1,
NUDT21,ENSG00000167005
NUP133,ENSG00000069248
NUTF2,ENSG00000102898
PAFAH1B1,ENSG00000007168
PFDN2,ENSG00000143256
PHB,ENSG00000167085
PHB2,ENSG00000215021
POLD1,ENSG00000062822
POLD2,ENSG00000106628
POLR1B,ENSG00000125630
POLR2A,ENSG00000181222
POLR2B,ENSG00000047315
POLR2C,ENSG00000102978
POLR2D,ENSG00000144231
POLR2E,ENSG00000099817
POLR2F,ENSG00000100142
POLR2G,ENSG00000168002
POLR2H,ENSG00000163882
POLR2I,ENSG00000105258
POLR2K,ENSG00000147669
POLR2L,ENSG00000177700
POLR3A,ENSG00000148606
POLR3B,ENSG00000013503
POLR3F,ENSG00000132664
PRPF19,ENSG00000110107
PRPF38A,ENSG00000134748
