passage,mouse_id,library_id,treatmentSt,batch_info,PDX,Note
UX4,SA535X4XB02498,SCRNA10X_SA_CHIP0148_001,U,CHIP0148,SA535_untreated,
X5,SA535X5XB02895,TENX048,U,CHIP0048SA,SA535_untreated,
X6,SA535X6XB03099,SCRNA10X_SA_CHIP0146_006,UU,CHIP0146,SA535_untreated,
X6,SA535X6XB03101,SCRNA10X_SA_CHIP0175_001,UT,CHIP0175,SA535_CY,
X7,SA535X7XB03304,SCRNA10X_SA_CHIP0182_001,UTT,CHIP0182,SA535_CY,
X7,SA535X7XB03448,SCRNA10X_SA_CHIP0189_001,UUU,CHIP0189,SA535_untreated,
X7,SA535X7XB03305,SCRNA10X_SA_CHIP0184_001,UTU,CHIP0184,SA535_CY,
X7,SA535X7XB03305,SCRNA10X_SA_CHIP0146_004,UTU,CHIP0146,SA535_CY,
X8,SA535X8XB03663,SCRNA10X_SA_CHIP0189_002,UUUU,CHIP0189,SA535_untreated,Do not exist in DLP
X8,SA535X8XB03431,SCRNA10X_SA_CHIP0182_002,UTTT,CHIP0182,SA535_CY,
X8,SA535X8XB03434,SCRNA10X_SA_CHIP0184_002,UTTU,CHIP0184,SA535_CY,
X9,SA535X9XB03617,SCRNA10X_SA_CHIP0173_002,UTTTT,CHIP0173,SA535_CY,
X9,SA535X9XB03616,SCRNA10X_SA_CHIP0173_001,UTTTU,CHIP0173,SA535_CY,
X8,SA535X8XB03664,SCRNA10X_SA_CHIP0195_001,UUUU,CHIP0195,SA535_untreated,
X5,SA535X5XB02891,SCRNA10X_SA_CHIP0148_002,UT,CHIP0148,SA535_CX,
X5,SA535X5XB02894,TENX047,UT,CHIP001,SA535_CX,
X6,SA535X6XB03200,SCRNA10X_SA_CHIP0157_001,UTT,CHIP0157,SA535_CX,
X6,SA535X6XB03203,SCRNA10X_SA_CHIP0157_002,UTU,CHIP0157,SA535_CX,
X8,SA535X8XB03548,SCRNA10X_SA_CHIP0192_002,UTTTT,CHIP003,SA535_CX,
X8,SA535X8XB03546,SCRNA10X_SA_CHIP0192_001,UTTTU,CHIP004,SA535_CX,
X10,SA535X10XB03696,SCRNA10X_SA_CHIP0206_002,UTTTTT,CHIP0206,SA535_CY,
X10,SA535X10XB03693,SCRNA10X_SA_CHIP0206_001,UTTTTU,CHIP0206,SA535_CY,
X7,SA535X7XB03390,SCRNA10X_SA_CHIP0202_001,UTTT,CHIP0202,SA535_CX,
X7,SA535X7XB03394,SCRNA10X_SA_CHIP0202_002,UTTU,CHIP0202,SA535_CX,
X9,SA535X9XB03776,SCRNA10X_SA_CHIP0208_002,UUUUU,CHIP0208,SA535_untreated,
X9,SA535X9XB03703,SCRNA10X_SA_CHIP0203_002,UTTTTT,CHIP0203,SA535_CX,
X9,SA535X9XB03699,SCRNA10X_SA_CHIP0203_001,UTTTTU,CHIP0203,SA535_CX,
