library_labels,grouping,treatment_st,passage,sample,PDX,Tumor Transplant date,Collection date,
A96244B,A96244B,UT,X5,SA535X5XB02894,SA535_CX5461,18-07-30,18-10-29,
A95625A_2498,A95625A,U,UX4,SA535X4XB02498,SA535_untreated,18-03-26,18-12-07,
A98163A,A98163A,U,UX4,SA535X4XB02498,SA535_untreated,18-03-26,18-12-07,
A98210A,A98210A,U,UX4,SA535X4XB02498,SA535_untreated,18-03-26,18-12-07,
A95697A,A95697A,U,UX4,SA535X4XB02498,SA535_untreated,18-03-26,18-12-07,
A108759A,A108759A,UT,X5,SA535X5XB02891,SA535_CX5461,18-07-30,18-12-17,
A95625A_2891,A95625A,UT,X5,SA535X5XB02891,SA535_CX5461,18-07-30,18-12-17,
A108732A_2891,A108732A,UT,X5,SA535X5XB02891,SA535_CX5461,18-07-30,18-12-17,
A96233A,A96233A,U,X5,SA535X5XB02895,SA535_untreated,18-07-30,18-10-29,
A98285A,A98285A,UU,X6,SA535X6XB03099,SA535_untreated,18-10-29,19-02-25,
A98253B,A98253B,UT,X6,SA535X6XB03101,SA535_cisplatin,18-10-29,19-02-02,
A98256B,A98256B,UT,X6,SA535X6XB03101,SA535_cisplatin,18-10-29,19-02-02,
A98259B,A98259B,UTT,X6,SA535X6XB03200,SA535_CX5461,18-12-17,19-04-22,
A98287A,A98287A,UTU,X6,SA535X6XB03203,SA535_CX5461,18-12-16,19-04-29,
A108833B,A108833B,UTT,X7,SA535X7XB03304,SA535_cisplatin,19-02-02,19-05-14,
A108851B,A108851B,UTT,X7,SA535X7XB03304,SA535_cisplatin,19-02-02,19-05-14,
A108757B,A108757B,UTU,X7,SA535X7XB03305,SA535_cisplatin,19-02-02,19-04-17,
A108768B,A108768B,UTU,X7,SA535X7XB03305,SA535_cisplatin,19-02-02,19-04-17,
A118807A,A118807A,UTTT,X7,SA535X7XB03390,SA535_CX5461,19-04-22,19-07-11,
A108837A,A108837A,UTTT,X8,SA535X8XB03431,SA535_cisplatin,19-05-14,19-07-30,
A108863A,A108863A,UTTT,X8,SA535X8XB03431,SA535_cisplatin,19-05-14,19-07-30,
A108879A,A108879A,UTTU,X8,SA535X8XB03434,SA535_cisplatin,19-05-14,19-09-05,
A108870A,A108870A,UUU,X7,SA535X7XB03448,SA535_untreated,19-05-30,19-09-05,
A108760A,A108760A,UTTTU,X8,SA535X8XB03546,SA535_CX5461,19-07-12,19-09-23,
A108843B,A108843B,UTTTU,X8,SA535X8XB03546,SA535_CX5461,19-07-12,19-09-23,
A108760B,A108760B,UTTTT,X8,SA535X8XB03548,SA535_CX5461,19-07-12,19-10-23,
A98168A,A98168A,UTTTT,X9,SA535X9XB03617,SA535_cisplatin,19-07-30,19-10-17,
A98244A,A98244A,UTTTT,X9,SA535X9XB03617,SA535_cisplatin,19-07-30,19-10-17,
A98168B,A98168B,UTTTU,X9,SA535X9XB03616,SA535_cisplatin,19-07-30,19-10-23,
A108759B,A108759B,UUUU,X8,SA535X8XB03664,SA535_untreated,19-09-05,19-12-10,
A108732A_3664,A108732A,UUUU,X8,SA535X8XB03664,SA535_untreated,19-09-05,19-12-10,
A118807B,A118807B,UTTU,X7,SA535X7XB03394,SA535_CX5461,19-04-22,19-04-22,
A118869B,A118869B,UTTTTT,X10,SA535X10XB03696,SA535_cisplatin,19-10-17,19-12-17,
A118869A,A118869A,UTTTTU,X10,SA535X10XB03693,SA535_cisplatin,19-10-17,19-12-17,
A118820B,A118820B,UTTTTU,X9,SA535X9XB03699,SA535_CX5461,19-10-23,20-01-24,
A118845B,A118845B,UUUUU,X9,SA535X9XB03776,SA535_untreated,19-12-10,20-03-17,
A118820A,A118820A,UTTTTT,X9,SA535X9XB03703,SA535_CX5461,19-10-23,20-01-07,
,,,,,,,,
,,,,,,,,
