,Dataset,Sample,Label,Treatment,Drug,Timepoint,Material,Initial_counts,QC_mouse,QC_filter,QC_doublets
1,SA609,SA609X3XB01584,SA609-X3-U,U,Untreated,X3,pdx,4196,4157,281,274
2,SA609,SA609X4XB03080,SA609-X4-UU,UU,Untreated,X4,pdx,8963,8963,4871,4869
3,SA609,SA609X5XB03223,SA609-X5-UUU,UUU,Untreated,X5,pdx,3856,3838,2783,2773
4,SA609,SA609X6XB03447,SA609-X6-UUUU,UUUU,Untreated,X6,pdx,3238,3236,2464,2450
5,SA609,SA609X7XB03554,SA609-X7-UUUUU,UUUUU,Untreated,X7,pdx,2375,2334,1748,1743
6,SA609,SA609X4XB003083,SA609-X4-UT,UT,Cisplatin,X4,pdx,1385,1078,604,600
7,SA609,SA609X4XB03084,SA609-X4-UT,UT,Cisplatin,X4,pdx,5336,5305,2634,2628
8,SA609,SA609X5XB03230,SA609-X5-UTT,UTT,Cisplatin,X5,pdx,3312,3248,2426,2419
9,SA609,SA609X6XB03404,SA609-X6-UTTT,UTTT,Cisplatin,X6,pdx,3901,3778,3054,3047
10,SA609,SA609X7XB03505,SA609-X7-UTTTT,UTTTT,Cisplatin,X7,pdx,3683,3554,1939,1934
11,SA609,SA609X7XB03573,SA609-X7-UTTTT,UTTTT,Cisplatin,X7,pdx,2686,2644,1781,1776
12,SA609,SA609X5XB03231,SA609-X5-UTU,UTU,Cisplatin-holiday,X5,pdx,3549,3362,2703,2612
13,SA609,SA609X5XB03235,SA609-X5-UTU,UTU,Cisplatin-holiday,X5,pdx,4223,4169,2544,2540
14,SA609,SA609X6XB03401,SA609-X6-UTTU,UTTU,Cisplatin-holiday,X6,pdx,2668,2496,1849,1844
15,SA609,SA609X7XB03510,SA609-X7-UTTTU,UTTTU,Cisplatin-holiday,X7,pdx,3640,3501,2372,2372
16,SA1035,SA1035X4XB02879,SA1035-X4-U,U,Untreated,X4,pdx,965,965,253,253
17,SA1035,SA1035X5XB03021,SA1035-X5-UU,UU,Untreated,X5,pdx,3311,3311,1080,1078
18,SA1035,SA1035X6XB03216,SA1035-X6-UUU,UUU,Untreated,X6,pdx,6156,6156,1356,1354
19,SA1035,SA1035X7XB03502,SA1035-X7-UUUU,UUUU,Untreated,X7,pdx,3580,3580,747,746
20,SA1035,SA1035X8XB03631,SA1035-X8-UUUUU,UUUUU,Untreated,X8,pdx,2791,2791,679,674
